Audit Report,Wilford G. Edling,April 1971,None
Sustaining of Church Authorities and Officers,N. Eldon Tanner,April 1971,None
“The Spirit Beareth Record”,Boyd K. Packer,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-6040-elder-boyd-k-packer-64k-eng.mp3?download=true
Ye Shall Not Fear,Alvin R. Dyer,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-6050-elder-alvin-r-dyer-64k-eng.mp3?download=true
Practicing What We Preach,Marion D. Hanks,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-6060-elder-marion-d-hanks-64k-eng.mp3?download=true
Marriage Is Intended to Be Forever,James A. Cullimore,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-6070-elder-james-a-cullimore-64k-eng.mp3?download=true
Lost Battalions,Thomas S. Monson,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-6080-elder-thomas-s-monson-64k-eng.mp3?download=true
In the Mountain of the Lord’s House,LeGrand Richards,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-7010-elder-legrand-richards-64k-eng.mp3?download=true
All May Share in Adam’s Blessing,Eldred G. Smith,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-7020-elder-eldred-g-smith-64k-eng.mp3?download=true
Young People—Learn Wisdom in Thy Youth,Paul H. Dunn,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-7030-elder-paul-h-dunn-64k-eng.mp3?download=true
Honesty and Integrity,Delbert L. Stapley,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-7040-elder-delbert-l-stapley-64k-eng.mp3?download=true
Help Needed in the Shaded Areas,William H. Bennett,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-7050-elder-william-h-bennett-64k-eng.mp3?download=true
Man Cannot Endure on Borrowed Light,Henry D. Taylor,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-7060-elder-henry-d-taylor-64k-eng.mp3?download=true
A Witness and a Blessing,Joseph Fielding Smith,April 1971,https://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-7070-president-joseph-fielding-smith-64k-eng.mp3?download=true
“I Know That My Redeemer Liveth”,Joseph Fielding Smith,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-1010-president-joseph-fielding-smith-64k-eng.mp3?download=true
The Only True and Living Church,Boyd K. Packer,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-1020-elder-boyd-k-packer-64k-eng.mp3?download=true
A Time of Testing,Henry D. Taylor,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-1030-elder-henry-d-taylor-64k-eng.mp3?download=true
Decisions,Eldred G. Smith,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-1040-elder-eldred-g-smith-64k-eng.mp3?download=true
“This Is My Beloved Son”,Loren C. Dunn,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-1050-elder-loren-c-dunn-64k-eng.mp3?download=true
